Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
   MULTIÓPTICAS IRI;05-E-0046;CL. DUQUE DE ALBA 3  ;05001;AVILA;AVILA;920212074;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE AUDIOPRÓTESIS#ESTABLECIMIENTO DE ÓPTICA;MOIRI CYL, S.L.;PRIVADOS;
  CLÍNICA DENTAL VITAL DENT;09-C251-0171;CL. DIEGO LAÍNEZ 2  ;09005;BURGOS;BURGOS;947239943;947226289;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BALOO DENTAL, S.L.;PRIVADOS;
 CONSULTA DE PODOLOGIA CENTRO VITALIA;34-C22-0051;PS. SAN JOSE OBRERO  3  ;34004;PALENCIA;PALENCIA;979710114;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;VICENTE ORTEGA , ISIDRO;PRIVADOS;
 CONSULTA DE PSICOLOGIA SANITARIA LIDIA  GESTEIRA FERNANDEZ;49-C22-0120;AV. CARDENAL CISNEROS 32  ;49029;ZAMORA;ZAMORA;666551523;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);GESTEIRA FERNANDEZ , LIDIA;PRIVADOS;
 FISIOTERAPIA CÁCERES ÁLVAREZ ;40-C22-0098;CL. LAS VACAS 3  ;40200;CUELLAR;SEGOVIA;921141756;921141756;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CÁCERES ÁLVAREZ , JESÚS JULIÁN;PRIVADOS;
 FISIOTERAPIA MOGAN;40-C22-0004;CL. LA LUNA 28  ;40400;ESPINAR (EL);SEGOVIA;921183118;921183118;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCÍA DE ANDRÉS , MÓNICA;PRIVADOS;
 FUNDACIÓN INTRAS VEINTE METROS;47-C3-0181;CL. VEINTE METROS 13-15  ;47005;VALLADOLID;VALLADOLID;983399633;983217565;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PSICOLOGÍA CLÍNICA;FUNDACIÓN INTRAS;PRIVADOS;
 + Q FISIO;24-C22-0172;CL. PADRE ISLA 24  ;24002;LEON;LEON;987259343;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISYO LEON C.B.;PRIVADOS;
 SERVICIOS SANITARIOS RESIDENCIA DE PERSONAS MAYORES SAN AGUSTÍN;49-C3-0010;AV. RODRÍGUEZ DE MIGUEL 18  ;49800;TORO;ZAMORA;980694755;980694755;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#TERAPIA OCUPACIONAL;CÁRITAS DIOCESANA DE ZAMORA;ORGANIZACIONES NO GUBERNAMENTALES;
 SERVICIOS SANITARIOS RESIDENCIA VIRGEN DEL CANTO;49-C3-0026;CL. RUA SANTA CATALINA RONCESVALLES 24  ;49000;TORO;ZAMORA;980690174;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;ENFERMERÍA#MEDICINA GENERAL /  DE FAMILIA;DIPUTACIÓN PROVINCIAL DE ZAMORA;DIPUTACIÓN O CABILDO;
 SERVICIOS SANITARIOS RESIDENCIA 3ª EDAD CIUDAD DE BENAVENTE;49-C3-0022;CR. MADRID-CORUÑA 260  ;49600;BENAVENTE;ZAMORA;980636676;980636723;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACIÓN NO SANITARIA;CUIDADOS PALIATIVOS#DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#GERIATRÍA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#PODOLOGÍA#PSIQUIATRÍA#TERAPIA OCUPACIONAL;BENAVENTE GESTIÓN, S.L.;PRIVADOS;
 TCUIDA PASEO ZORRILLA 354 S.L.;47-C21-0298;PS. ZORRILLA 354  ;47008;VALLADOLID;VALLADOLID;983666969;0;CONSULTAS MÉDICAS;MEDICINA ESTÉTICA;PASEO ZORRILLA 354 S.L.;PRIVADOS;
 + VISIÓN PRADA;24-E-0026;CL. CONDESA DE SAGASTA  36  ;24001;LEON;LEON;987228762;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;PRADA  PRESA , ERNESTO;PRIVADOS;
AB PSICOLOGÍA;37-C22-0287;CR. DE MADRID, Nº 72, BAJO (POLICLÍNICA SANTA MARTA)   ;37900;SANTA MARTA DE TORMES;SALAMANCA;652736178;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);BAENA RODRÍGUEZ , AMANDA;PRIVADOS;
ÁBACO DENTAL;47-C2590-0059;PS. DE ISABEL LA CATÓLICA 4  I;47001;VALLADOLID;VALLADOLID;983131190;0;OTROS CENTROS ESPECIALIZADOS;CIRUGÍA MAXILOFACIAL#ODONTOLOGÍA / ESTOMATOLOGÍA;CENTRO DE REHAB. ORAL Y A.T.M. DE C. Y LEÓN, S.L.;PRIVADOS;
ABAD CLÍNICA Y LABORATORIO DENTAL;09-C251-0068;CL. VITORIA  235  A;09007;BURGOS;BURGOS;947482171;947482171;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ABAD CASTELL , JOSÉ ANTONIO;PRIVADOS;
ABBA CENTRO DE PSICOLOGÍA;09-C22-0008;CL. CARDENAL SEGURA 6  ;09003;BURGOS;BURGOS;947260289;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PSICOLOGÍA CLÍNICA;FERNÁNDEZ GARCÍA , MARÍA VICTORIA;PRIVADOS;
ABD FISIOTERAPIA;42-C22-0025;CL. CARO 5  G;42001;SORIA;SORIA;975121212;975121212;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCÍA GARCÉS , ENRIQUE;PRIVADOS;
AC CLÍNICA DENTAL ;47-C251-0139;CL. LAUD 4  ;47012;VALLADOLID;VALLADOLID;983118210;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;CASADIEGO CUBIDES , MARIA ALEJANDRA;PRIVADOS;
AC GEN READING LIFE;47-C256-0025;PS. DE BELÉN, Nº 9, EDIFICIO CTTA, LABORATORIO 212 (CAMPUS MIGUEL DELIBES)   ;47011;VALLADOLID;VALLADOLID;675663193;0;ESPECIALIZADOS: CENTROS DE DIAGNÓSTICO;GENÉTICA;AC GEN READING LIFE, S.L.;PRIVADOS;
ACOMPAÑÁNDOTE;47-C22-0235;CL. ARNALDO DE VILANOVA 8 B D;47195;ARROYO;VALLADOLID;600735641;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);GIL ALONSO , ROCÍO;PRIVADOS;
A.C.P. ATENCIÓN CLÍNICA DEL PIE;47-C22-0039;PZ. MARTÍ Y MONSÓ 5  F;47001;VALLADOLID;VALLADOLID;983336153;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;DOMÍNGUEZ HERREROS , DIEGO;PRIVADOS;
ACTÍVATE FISIOTERAPIA;24-C22-0150;AV. CASTILLO ESQUINA AV. REYES CATÓLICOS 54  ;24402;PONFERRADA;LEON;650125887;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GRAGERA GAMA , JAVIER;PRIVADOS;
ADAPTA PSICOLOGÍA APLICADA;37-C22-0221;CL. TOMILLAR 1  ;37120;DOÑINOS DE SALAMANCA;SALAMANCA;609607657;923330621;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);PÉREZ GARCÍA , MARÍA ÁNGELES;PRIVADOS;
ADESLAS DENTAL ;40-C251-0103;CL. LOS COCHES 3  ;40002;SEGOVIA;SEGOVIA;917824933;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ADESLAS DENTAL BURGOS;09-C251-0145;CL. DOÑA BERENGUELA (ACCESO POR C/ LEÓN XIII) 11  ;09006;BURGOS;BURGOS;947244902;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ADESLAS DENTAL PALENCIA;34-C251-0075;CL. COLÓN 22  ;34002;PALENCIA;PALENCIA;979824933;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ADESLAS DENTAL SALAMANCA;37-C251-0158;PS. DE LA ESTACIÓN 32  ;37004;SALAMANCA;SALAMANCA;923197448;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ADESLAS DENTAL S.A.U.;24-C251-0260;AV. SUERO DE QUIÑONES 32  ;24002;LEON;LEON;917824933;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ADESLAS DENTAL VALLADOLID;47-C251-0274;PZ. DE LA UNIVERSIDAD 6  ;47002;VALLADOLID;VALLADOLID;983219290;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADESLAS DENTAL SA;PRIVADOS;
ÁGOLEZ PSICOLOGÍA;47-C22-0197;CL. ARNALDO DE VILANOVA (PORTAL B) (INSTALACIONES DEL CENTRO MTE) 8  D;47195;ARROYO;VALLADOLID;650815727;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);ÁLVAREZ GARCÍA , ANA ISABEL;PRIVADOS;
ÁGORA GABINETE PSICOLÓGICO;47-C22-0144;CL. DUQUE DE LERMA 16  C;47002;VALLADOLID;VALLADOLID;983392386;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);PÉREZ MONTES , ALICIA;PRIVADOS;
ÁGREDA DENTAL;42-C251-0011;AV. DE LA CORONACIÓN 3  ;42100;AGREDA;SORIA;976197042;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;LLORET  SEGURA , OSVALDO FRANCISCO;PRIVADOS;
AGS GINECOLOGÍA;37-C21-0159;CL. ESPOZ Y MINA 2-8  B;37002;SALAMANCA;SALAMANCA;923213842;0;CONSULTAS MÉDICAS;GINECOLOGÍA #OBSTETRICIA;AGS GINECOLOGÍA C.B.;PRIVADOS;
ALAIN AFFLELOU;42-E-0006;99. CENTRO COMERCIAL LAS CAMARETAS, LOCAL 60   ;42190;GOLMAYO;SORIA;936756804;0;ESTABLECIMIENTOS SANITARIOS (ÓPTICAS, ORTOPEDIAS, AUDIOPRÓTESIS);ESTABLECIMIENTO DE ÓPTICA;ALAIN AFFLELOU OPTICO S.A.;PRIVADOS;
