AV. COMUNEROS 27-31,SALAMANCA
CL. ALFAREROS 0,SALAMANCA
CL. PUERTO RICO 1,VALLADOLID
CL. GASPAR BECERRA 0,ASTORGA
CL. GASPAR BECERRA 0,ASTORGA
CL. ARTURO DUPERIER 4,AVILA
CL. JESUS JIMENEZ 6,AVILA
PS. DE LA ESTACION 28,AVILA
CL. RIO CEA 0,BENAVENTE
CL. FRAY TORIBIO 2,BENAVENTE
CL. SANTA TERESA0,VILLARRIN DE CAMPOS
CL. VALLES MINEROS 36,SALAMANCA
PS. DE FILIPINOS15,VALLADOLID
CL. MAESTRO TARREGA 2-4,SALAMANCA
CL. JOSE MARIA DE LA PUENTE 1,BURGOS
CL. VENERABLE 68,AGREDA
AV. DE LA CIUDAD DEPORTIVA 3,AGUILAR DE CAMPOO
PZ. SANTA MARIA ,ALAEJOS
CL. CORRALES DE LA DEHESA 0,ALBA DE TORMES
CL. LAS ERAS 0,ALDEADAVILA DE LA RIBERA
CL. FERIAL ,ALMAZAN
CL. SANTIAGO 7,ARANDA DE DUERO
CL. BURGO DE OSMA 53,ARANDA DE DUERO
CL. BURGO DE OSMA 53,ARANDA DE DUERO
CR. DE MARANCHON 0,ARCOS DE JALON
PS. PINTOR MARTINEZ VAZQUEZ 21,ARENAS DE SAN PEDRO
AV. DE EMILIO ROMERO0,AREVALO
CL. SAN JUAN BOSCO 0,LEON
CL. SANTA FE, ESQUINA MADRIGAL ,AVILA
CL. FRAY GIL 6,AVILA
CL. COSTA BRAVA 0,VALLADOLID
CL. LAS CERCAS 2,BELORADO
CL. MAGISTERIO NACIONAL 0,BENAVIDES DE ORBIGO
CL. MANUEL VAZQUEZ 0,BERLANGA DE DUERO
CL. LAS ESCUELAS 0,BONAR
CL. SANTA ANA AL RIO 36,BRIVIESCA
PZ. MAYOR 12,BURGOHONDO
CL. LUIS CERNUDA 11,BURGOS
CL. LUIS CERNUDA 11,BURGOS
CL. ANGEL GONZALEZ 5,CACABELOS
CL. LA LAGUNA 0,CALZADA DE VALDUNCIEL
CL. CHILLA, S/N ,CANDELEDA
CR. SEPULVEDA 54,CANTALEJO
CL. SEGOVIA 23,VALLADOLID
CR. DE ZAMORA 0,CARBAJALES DE ALBA
CR. DE BERNARDOS 8,CARBONERO EL MAYOR
PZ. CONDE DE GARAY 0,CARRION DE LOS CONDES
AV. DE LA CONSTITUCION,CEBREROS
CL. FELIPE CALVO 5,CERVERA DE PISUERGA
CR. DEL RIO 7,CIGALES
PZ. DEL BIOLOGO JOSE ANTONIO VALVERDE 5,VALLADOLID
CL. BATALLA DE LEPANTO 0,CISTIERNA
AV. SALAMANCA 147-151,CIUDAD RODRIGO
CR. MIRANDA 34,TREVINO
CR. DE AVEDILLO 0,CORRALES
CL. SOLANA ALTA 0,CUELLAR
CL. DE LAS ERAS0,BARCO DE AVILA (EL)
CL. MARI GARCIA 0,ESPINAR (EL)
CL. DEMOCRACIA 2,ESGUEVILLAS DE ESGUEVA
CL. PROGRESO 0,ESPINOSA DE LOS MONTEROS
PZ. DE LA CORTINA 0,FABERO
CL. CAMINO VIEJO 0,FONTIVEROS
AV. EJERCITO ESPANOL 28,FROMISTA
CL. LA FUENTE 10,FUENTESAUCO DE FUENTIDUENA
CL. LAS MOZAS0,NAVARREDONDA DE GREDOS
CL. SANTA BARBARA 0,GUARDO
CL. TESO DE LA FERIA 0,GUIJUELO
AV. MARIA AUXILIADORA 0,HERRERA DE PISUERGA
CL. CARIDAD 33,HUERTA DEL REY
CL. RONDA,ISCAR
AV. LAS BATUECAS 0,ALBERCA
PZ. ESPANA 0,FUENTE DE SAN ESTEBAN (LA)
CL. NUESTRA SENORA2,VALLADOLID
AV. MODESTO LAFUENTE 2,PALENCIA
CL. POBO 2-8,NAVAFRIA
AV. LA LAGUNA ,LAGUNA DE DUERO
CL. FELIPE VELASCO 0,LANZAHITA
TR. GRUPO ESCOLAR 10,NAVAS DEL MARQUES (LAS)
CL. SUBIDA SAN MIGUEL0,LERMA
CR. DE GUIJUELO 0,LINARES DE RIOFRIO
CL. IMPERIAL ,LUMBRALES
CL. ISABEL LA CATOLICA ,MADRIGAL DE LAS ALTAS TORRES
AV. VILLA DE LIL 0,MANSILLA DE LAS MULAS
CL. LA ESTACION 0,MATALLANA DE TORIO
CL. CUARTEL 0,MATILLA DE LOS CANOS DEL RIO
CL. SAN JUAN 21,MAYORGA
CL. ORTIZ DE NAVACERRA 2,MEDINA DE POMAR
PZ. DE LA CONSTITUCION ,MEDINA DE RIOSECO
CL. REY,MEDINA DEL CAMPO
CL. ALMIRANTE,MEDINA DEL CAMPO
CL. CRUZ DE LA RIBERA, S/N ,MELGAR DE FERNAMENTAL
AV. DE LA CONSTITUCION 17,MIRANDA DEL CASTANAR
CL. JOSE MANUEL FERNANDEZ DE SANTIAGO 0,MOMBELTRAN
CL. SAN SEBASTIAN ,MOTA DEL MARQUES
PZ. DEL CANO 1,NAVA DE LA ASUNCION
CL. CALABAZAS 2,OLMEDO
PZ. DE LA CONSTITUCION 1,OLVEGA
AV. CONCENTRACION PARCELARIA 0,OSORNO
CL. LAS ERAS 0,PAMPLIEGA
CL. EXTRAMUROS 0,PAREDES DE NAVA
CL. SANTA MARIA 0,PEDROSILLO EL RALO
CL. CRUZ ROJA ,PENAFIEL
AV. LOS JARDINES 0,PENARANDA DE BRACAMONTE
PZ. NUEVA DE LA VILLA 0,PIEDRAHITA
CL. CARDENAL AGUIRRE 0,POLA DE GORDON (LA)
PS. SAN ANTONIO 7,PONFERRADA
CL. PICO TUERTO 0,PONFERRADA
CL. RUBEN DARIO 53,PONFERRADA
PZ. RODOLFO MARTIN VILLA 0,PUENTE DE DOMINGO FLOREZ
CL. DE LA IGLESIA 25-27,QUINTANAR DE LA SIERRA
CL. SOLASIERRA 0,RIANO
PZ. MARIA HERNADO 1,RIAZA
CL. EL SEXTIL 0,GRADEFES
CR. MAMBRILLA0,ROA
CL. CALZADA 0,ROBLEDA
CL. SEPULVEDA 14,SACRAMENIA
CL. CONSTITUCION 0,SAHAGUN
CL. PARQUE LARA0,SALAS DE LOS INFANTES
CL. RONDA DON GARCIA 0,SALDANA
CL. BURBIA 0,LEON
CL. CONDES DE SAN ESTEBAN 9,SAN ESTEBAN DE GORMAZ
CL. SAN PEDRO,SAN LEONARDO DE YAGUE
CR. DE VILLAFLOR 0,SAN PEDRO DEL ARROYO
CR. MEDIANA ,SAN PEDRO MANRIQUE
CL. PRADO ARRIBA 0,SANTA MARIA DEL PARAMO
CL. EZEQUIEL ELENO 0,BERMILLO DE SAYAGO
CL. LAS ERAS 0,SEDANO
CL. EL POSTIGUILLO 11,SEPULVEDA
CL. LAS PENAS3,SERRADA
PZ. DE LA CONCORDIA ,SOTILLO DE LA ADRADA
CR. DE RIOFRIO 0,TABARA
CL. TOMAS RODRIGUEZ PINILLA 0,SALAMANCA
CL. CARRETERA 72,CAMARZANA DE TERA
AV. DE VALLADOLID ,TORDESILLAS
CL. INSTITUTO, S/N ,TORENO
PZ. SAN AGUSTIN 1,TORO
